,RECORD,BBLE,LOT,EASEMENT,BLDGCL,TAXCLASS,LTFRONT,LTDEPTH,STORIES,FULLVAL,AVLAND,AVTOT,EXLAND,EXTOT,EXCD1,ZIP,EXMPTCL,BLDFRONT,BLDDEPTH,NA_COUNT_PRE,BORO,AVG_LTFRONT,AVG_LTDEPTH,AVG_STORIES,AVG_ZIP,AVG_BLDFRONT,AVG_BLDDEPTH,NA_COUNT_POST
791080,791081,5040310107,107,,A5,1,26.0,145.0,2.0,593000,19206,35043,1620,1620,1017.0,10306.0,,16.0,53.0,7,5,48.0,109.0,2.0,10308.0,25.0,40.0,2
690910,690911,3001761005,1005,,R5,4,33.0,101.0,13.0,127453,7462,57354,0,49892,1986.0,11201.0,,25.0,52.0,4,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
1046652,1046653,4063760005,5,,C0,1,20.0,100.0,3.0,891000,27635,50457,1620,1620,1017.0,11355.0,,24.0,44.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
377825,377826,1010091171,1171,,R4,2,85.0,100.0,67.0,372218,67952,167498,2090,2090,1017.0,10019.0,,70.0,102.0,3,1,81.0,120.0,19.0,10035.0,70.0,102.0,2
436580,436581,3017341401,1401,,R4,2,33.0,101.0,6.0,164425,4215,73991,864,70640,5114.0,11205.0,,25.0,52.0,3,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
183999,184000,3003950050,50,,C6,2C,25.0,100.0,4.0,1850000,1565,141926,1565,80382,5129.0,11217.0,,25.0,68.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
885336,885337,3038710024E,24,E,U9,3,33.0,101.0,3.0,0,0,0,0,0,,11220.0,,25.0,52.0,9,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
167443,167444,4100640250,250,,B3,1,40.0,100.0,2.5,388000,8318,14804,0,0,,11435.0,,22.0,35.0,8,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
760163,760164,3059570028,28,,A5,1,24.0,109.0,2.0,772000,20037,32160,0,0,,11209.0,,17.0,46.0,8,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
232045,232046,2047490062,62,,B3,1,46.0,95.0,1.7,392000,15103,22947,0,0,,10469.0,,34.0,24.0,8,2,49.0,107.0,4.0,10464.0,33.0,52.0,3
70633,70634,4048620119,119,,A1,1,40.0,95.0,2.0,855000,21207,38826,0,10010,5111.0,11357.0,,25.0,57.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
992814,992815,2042260161,161,,B1,1,25.0,105.0,2.0,447000,15961,25756,3740,8240,1010.0,10461.0,,21.0,48.0,6,2,49.0,107.0,4.0,10464.0,33.0,52.0,2
186768,186769,4016080055,55,,C1,2,39.0,100.0,4.0,397000,39600,178650,0,0,,11368.0,,39.0,89.0,6,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
797822,797823,3018360021,21,,C3,2A,16.0,100.0,3.0,581000,15132,27474,0,0,,11221.0,,16.0,45.0,8,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
44435,44436,4050621007,1007,,R4,2,41.0,104.0,5.0,85873,2605,38643,1265,37303,5113.0,11355.0,,26.0,44.0,4,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
829795,829796,4016890046,46,,B1,1,20.0,100.0,2.0,564000,11479,20817,1620,1620,1017.0,11369.0,,20.0,45.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
832552,832553,4142471280,1280,,V0,1B,20.0,80.0,3.0,119600,1202,1202,0,0,,11380.0,,26.0,44.0,10,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
629032,629033,4062410001,1,,K2,4,81.0,93.0,2.0,2220000,398700,999000,0,0,,11361.0,,80.0,60.0,6,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
80824,80825,3039120013,13,,A5,1,17.0,102.0,2.0,397000,8548,13684,0,0,,11208.0,,17.0,38.0,8,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
395159,395160,4115561053,1053,,R3,1A,41.0,104.0,1.0,199852,426,6985,0,0,,11417.0,,26.0,44.0,8,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
735537,735538,4026750052,52,,G0,1,25.0,100.0,2.0,257000,6067,6992,0,0,,11378.0,,18.0,18.0,8,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
611631,611632,3080440026,26,,C0,1,21.0,100.0,3.0,527000,18074,28603,0,0,,11236.0,,21.0,52.0,8,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
13815,13816,2046840023,23,,B2,1,17.0,100.0,2.0,372000,12944,20578,1620,1620,1017.0,10469.0,,17.0,47.0,7,2,49.0,107.0,4.0,10464.0,33.0,52.0,2
391300,391301,4055890023,23,,A2,1,40.0,100.0,1.0,464000,17138,24468,6910,6910,1010.0,11365.0,,22.0,38.0,6,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
152502,152503,4000821049,1049,,R4,2,41.0,104.0,8.0,73388,2836,33025,2836,33025,1920.0,11101.0,,26.0,44.0,4,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
856327,856328,5035851286,1286,,R4,2,48.0,109.0,7.0,41079,2704,18486,0,0,,10306.0,,25.0,40.0,9,5,48.0,109.0,2.0,10308.0,25.0,40.0,3
371622,371623,3026930034,34,,C3,2A,24.0,100.0,2.0,636000,16649,30254,0,0,,11222.0,,24.0,55.0,8,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
214357,214358,4110270279,279,,A1,1,30.0,100.0,2.5,322000,11411,17665,1620,1620,1017.0,11411.0,,18.0,26.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
683719,683720,4058431756,1756,,R3,1A,41.0,104.0,1.0,803598,3794,31442,3240,3240,1017.0,11360.0,,26.0,44.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
153801,153802,4066190059,59,,A5,1,18.0,90.0,2.0,412000,16137,24177,1620,1620,1017.0,11367.0,,18.0,34.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
704383,704384,4108810003,3,,A1,1,40.0,95.0,2.0,369000,10253,18637,0,0,,11412.0,,24.0,26.0,8,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
159206,159207,4156180009,9,,C0,1,28.0,62.0,3.0,0,0,0,0,0,,11691.0,,20.0,50.0,8,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
967647,967648,4063540044,44,,B1,1,40.0,100.0,2.0,817000,21014,40587,0,0,,11355.0,,27.0,50.0,8,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
876326,876327,4050221254,1254,,R4,2,110.0,372.0,16.0,69349,4633,31207,0,0,,11354.0,,26.0,44.0,6,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
652559,652560,4020070028,28,,C0,1,19.0,100.0,3.0,704000,23645,39168,22824,22824,1015.0,11368.0,,20.0,53.0,6,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
209982,209983,3064630110,110,,B1,1,20.0,91.0,2.0,557000,15763,27698,15763,19159,1010.0,11214.0,,20.0,33.0,6,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
389329,389330,4131530019,19,,A1,1,40.0,100.0,2.5,394000,14144,21854,1620,1620,1017.0,11413.0,,20.0,30.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
766126,766127,4090520057,57,,B3,1,20.0,100.0,2.0,404000,9411,17126,0,0,,11416.0,,20.0,28.0,8,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
809013,809014,3068310032,32,,A1,1,35.0,100.0,2.0,676000,19233,31104,1620,1620,1017.0,11229.0,,20.0,45.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
364047,364048,4044141412,1412,,R4,2,41.0,104.0,6.0,113913,11342,51261,0,0,,11354.0,,26.0,44.0,6,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
136677,136678,3027440018,18,,C0,1,25.0,100.0,2.0,787000,7758,14100,0,0,,11211.0,,20.0,40.0,8,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
338648,338649,3041150055,55,,B2,1,50.0,60.0,3.0,496000,11406,17791,0,0,,11208.0,,21.0,45.0,8,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
132791,132792,4106240048,48,,A1,1,30.0,100.0,2.5,377000,10467,16173,1620,1620,1017.0,11428.0,,19.0,38.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
361386,361387,3041270034,34,,B1,1,20.0,100.0,2.0,537000,12685,19407,3240,3240,1017.0,11208.0,,20.0,55.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
29566,29567,3008020103,103,,S2,1,20.0,100.0,3.0,751000,15391,27987,0,0,,11220.0,,20.0,55.0,8,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
671699,671700,1005301103,1103,,R4,2,81.0,120.0,6.0,133877,18245,60245,2090,2090,1017.0,10012.0,,70.0,102.0,3,1,81.0,120.0,19.0,10035.0,70.0,102.0,2
647161,647162,3059020059,59,,B1,1,20.0,100.0,2.0,621000,16875,28477,1620,1620,1017.0,11228.0,,20.0,53.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
611726,611727,2039432036,2036,,R4,2,49.0,107.0,13.0,32580,4759,14661,0,3673,1920.0,10462.0,,33.0,52.0,4,2,49.0,107.0,4.0,10464.0,33.0,52.0,2
908085,908086,1008190050,50,,O2,4,52.0,92.0,12.0,6500000,720000,2925000,0,0,,10011.0,,52.0,89.0,6,1,81.0,120.0,19.0,10035.0,70.0,102.0,3
484697,484698,3029210015,15,,C0,1,25.0,90.0,3.0,851000,7532,13581,0,0,,11211.0,,25.0,36.0,8,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
18367,18368,5001210050,50,,A1,1,40.0,102.0,1.7,416000,11351,19353,1620,1620,1017.0,10301.0,,28.0,26.0,7,5,48.0,109.0,2.0,10308.0,25.0,40.0,2
629541,629542,3071140043,43,,B3,1,50.0,100.0,2.7,757000,18118,32970,1620,1620,1017.0,11223.0,,20.0,30.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
740128,740129,5028500041,41,,A5,1,22.0,100.0,2.0,358000,13380,21480,1620,1620,1017.0,10305.0,,16.0,41.0,7,5,48.0,109.0,2.0,10308.0,25.0,40.0,2
790362,790363,4029310025,25,,C0,1,20.0,100.0,3.0,660000,17715,30528,3240,3240,1017.0,11379.0,,20.0,50.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
686138,686139,4080450058,58,,A3,1,95.0,100.0,2.0,1083000,39910,63284,1620,1620,1017.0,11363.0,,45.0,27.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
869923,869924,4001490125,125,,A5,1,20.0,100.0,2.5,521000,15098,24055,1620,1620,1017.0,11104.0,,20.0,28.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
511496,511497,1000151220,1220,,R4,2,81.0,120.0,45.0,208545,12542,93845,0,63143,1925.0,10280.0,,78.0,179.0,4,1,81.0,120.0,19.0,10035.0,70.0,102.0,2
278715,278716,4089130022,22,,B2,1,25.0,100.0,2.0,471000,13986,21812,1620,1620,1017.0,11421.0,,18.0,50.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
912961,912962,3068040025,25,,A1,1,26.0,100.0,2.0,541000,15054,21489,0,0,,11229.0,,15.0,38.0,8,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
295571,295572,4060820015,15,,A5,1,18.0,100.0,2.0,411000,8886,15218,1620,1620,1017.0,11361.0,,15.0,32.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
28393,28394,3022190030,30,,C0,1,20.0,100.0,3.0,757000,19934,27141,0,0,,11211.0,,20.0,40.0,8,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
537510,537511,4050241127,1127,,R4,2,41.0,104.0,6.0,72534,8367,32640,0,0,,11354.0,,26.0,44.0,6,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
439550,439551,3067471013,1013,,R4,2,40.0,100.0,5.0,121625,11348,54731,8540,51923,5113.0,11230.0,,25.0,52.0,3,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
530962,530963,4099360014,14,,B3,1,50.0,100.0,2.5,583000,16094,25920,1620,1620,1017.0,11423.0,,26.0,44.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
465271,465272,5047920073,73,,B3,1,50.0,142.0,2.0,367000,9112,13270,0,0,,10306.0,,19.0,37.0,8,5,48.0,109.0,2.0,10308.0,25.0,40.0,3
893485,893486,1018480058,58,,V1,4,18.0,100.0,19.0,311045,139970,139970,0,0,,10026.0,,70.0,102.0,7,1,81.0,120.0,19.0,10035.0,70.0,102.0,3
697947,697948,3011711005,1005,,R4,2,150.0,128.0,6.0,49965,3546,22484,0,0,,11238.0,,25.0,52.0,6,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
78579,78580,2047000008,8,,B9,1,20.0,109.0,2.0,428000,13471,21675,100,600,1010.0,10469.0,,20.0,37.0,7,2,49.0,107.0,4.0,10464.0,33.0,52.0,2
446076,446077,4081060033,33,,A1,1,50.0,200.0,2.5,879000,23387,40309,3240,3240,1017.0,11363.0,,20.0,25.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
692398,692399,2026771009,1009,,R3,1A,49.0,107.0,3.0,148525,441,6600,441,6600,1015.0,10459.0,,33.0,52.0,6,2,49.0,107.0,4.0,10464.0,33.0,52.0,2
583776,583777,3009741364,1364,,R4,2,33.0,101.0,12.0,57925,1540,26066,1365,25891,5114.0,11215.0,,70.0,75.0,3,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
573110,573111,1013311044,1044,,R4,2,81.0,120.0,19.0,132503,14237,59626,0,0,,10022.0,,70.0,102.0,6,1,81.0,120.0,19.0,10035.0,70.0,102.0,3
798566,798567,3027710026,26,,B9,1,20.0,100.0,2.0,823000,7174,13892,1620,1620,1017.0,11211.0,,20.0,35.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
958350,958351,3070940055,55,,C0,1,29.0,100.0,2.0,690000,17026,30593,1620,1620,1017.0,11223.0,,21.0,58.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
522626,522627,1020941122,1122,,R4,2,99.0,80.0,6.0,37935,3647,17071,0,0,,10031.0,,88.0,78.0,7,1,81.0,120.0,19.0,10035.0,70.0,102.0,3
1039259,1039260,3009930049,49,,C0,1,18.0,100.0,3.0,952000,12474,22663,1620,1620,1017.0,11215.0,,18.0,46.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
152465,152466,3067160057,57,,B1,1,30.0,100.0,2.5,1050000,16785,39166,1620,1620,1017.0,11230.0,,22.0,48.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
446675,446676,4068960012,12,,C2,2A,29.0,100.0,3.0,914000,94502,171720,2090,2090,1017.0,11365.0,,21.0,55.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
806212,806213,2038190055,55,,C1,2,35.0,103.0,4.0,324000,38745,145800,0,0,,10462.0,,35.0,86.0,6,2,49.0,107.0,4.0,10464.0,33.0,52.0,3
550542,550543,3009400016,16,,Q2,4,50.0,56.0,3.0,371000,123300,166950,123300,166950,2151.0,11217.0,,25.0,52.0,4,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
113822,113823,2027240178,178,,K9,4,158.0,133.0,3.0,5440000,792000,2448000,0,0,,10459.0,,138.0,127.0,6,2,49.0,107.0,4.0,10464.0,33.0,52.0,3
83823,83824,3013650028,28,,B9,1,16.0,127.0,3.0,421000,5199,9475,1620,1620,1017.0,11213.0,,16.0,38.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
107320,107321,2038970017,17,,G0,1,25.0,95.0,4.0,250000,3023,3175,0,0,,10472.0,,33.0,52.0,9,2,49.0,107.0,4.0,10464.0,33.0,52.0,3
390322,390323,4057500049,49,,A1,1,40.0,100.0,2.0,579000,20055,32256,1620,1620,1017.0,11357.0,,18.0,35.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
883300,883301,1008331102,1102,,RR,2,81.0,120.0,41.0,36311001,1698300,16339950,818832,15460482,5116.0,10001.0,,70.0,102.0,3,1,81.0,120.0,19.0,10035.0,70.0,102.0,2
21485,21486,4109480060,60,,A1,1,25.0,100.0,2.0,373000,13800,22380,1620,1620,1017.0,11429.0,,18.0,42.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
967909,967910,5029020016,16,,A5,1,22.0,103.0,2.0,319000,11169,16807,0,0,,10304.0,,16.0,43.0,8,5,48.0,109.0,2.0,10308.0,25.0,40.0,3
953585,953586,5010390056,56,,B2,1,25.0,65.0,2.0,398000,12748,22959,0,0,,10302.0,,15.0,45.0,8,5,48.0,109.0,2.0,10308.0,25.0,40.0,3
206815,206816,4048530015,15,,A2,1,50.0,101.0,1.5,679000,18209,31380,18209,19638,1010.0,11354.0,,36.0,26.0,6,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
563454,563455,3068180008,8,,B1,1,30.0,100.0,2.0,631000,15394,27993,1620,1620,1017.0,11229.0,,20.0,62.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
965481,965482,3070850083,83,,A9,1,18.0,100.0,2.0,410000,11362,17002,0,0,,11223.0,,14.0,40.0,8,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
116819,116820,2047060046,46,,A5,1,20.0,112.0,2.0,343000,11631,17971,4316,4316,1010.0,10469.0,,20.0,32.0,6,2,49.0,107.0,4.0,10464.0,33.0,52.0,2
61853,61854,5016810154,154,,A5,1,15.0,90.0,2.0,250000,8457,14286,3240,3240,1017.0,10303.0,,15.0,36.0,7,5,48.0,109.0,2.0,10308.0,25.0,40.0,2
937848,937849,3055890066,66,,C0,1,20.0,100.0,3.0,608000,11256,19780,0,0,,11218.0,,20.0,38.0,8,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
38947,38948,2058422020,2020,,B1,1,50.0,100.0,2.0,842000,29275,50511,14221,35457,5111.0,10471.0,,25.0,52.0,7,2,49.0,107.0,4.0,10464.0,33.0,52.0,2
789183,789184,4140770069,69,,V0,1B,50.0,100.0,3.0,373750,11482,11482,0,0,,11380.0,,26.0,44.0,11,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
733540,733541,3087430087,87,,A1,1,31.0,104.0,2.0,1110000,34834,57711,1620,1620,1017.0,11235.0,,21.0,40.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
453888,453889,2039372134,2134,,R4,2,49.0,107.0,9.0,22654,2154,10194,2090,5203,1017.0,10462.0,,33.0,52.0,2,2,49.0,107.0,4.0,10464.0,33.0,52.0,2
231528,231529,3016770009,9,,B3,1,17.0,100.0,2.0,505000,8790,13492,0,0,,11233.0,,17.0,40.0,8,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
860798,860799,5006210049,49,,A1,1,102.0,90.0,1.5,307000,9604,14742,1620,1620,1017.0,10304.0,,16.0,28.0,7,5,48.0,109.0,2.0,10308.0,25.0,40.0,2
428081,428082,4160920041,41,,B2,1,32.0,104.0,2.0,650000,11940,35884,1620,25564,1017.0,11692.0,,22.0,54.0,6,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
943291,943292,4009750133,133,,B1,1,20.0,100.0,3.0,596000,20059,31711,3240,3240,1017.0,11370.0,,20.0,48.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
507765,507766,1015361476,1476,,R4,2,81.0,120.0,34.0,282962,30929,127333,0,0,,10128.0,,70.0,102.0,6,1,81.0,120.0,19.0,10035.0,70.0,102.0,3
314286,314287,4082870012,12,,B1,1,31.0,100.0,3.0,797000,21910,38464,1620,1620,1017.0,11362.0,,21.0,54.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
864369,864370,5035740034,34,,A1,1,40.0,100.0,1.0,469000,16686,26619,1620,1620,1017.0,10306.0,,24.0,48.0,7,5,48.0,109.0,2.0,10308.0,25.0,40.0,2
73028,73029,1014201368,1368,,R4,2,81.0,120.0,21.0,265086,24251,119289,0,0,,10065.0,,160.0,596.0,6,1,81.0,120.0,19.0,10035.0,70.0,102.0,3
522333,522334,2039444021,4021,,R4,2,49.0,107.0,12.0,31674,4224,14253,2090,4932,1017.0,10462.0,,33.0,52.0,2,2,49.0,107.0,4.0,10464.0,33.0,52.0,2
79146,79147,3047840054,54,,A9,1,20.0,100.0,2.0,364000,11181,17696,1620,1620,1017.0,11203.0,,16.0,47.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
383608,383609,4030660039,39,,C3,2A,30.0,110.0,2.0,757000,34363,62531,4180,4180,1017.0,11379.0,,30.0,60.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
942732,942733,2028920042,42,,V0,1B,16.0,76.0,4.0,113580,657,657,0,0,,10457.0,,33.0,52.0,9,2,49.0,107.0,4.0,10464.0,33.0,52.0,3
294260,294261,1020660051,51,,C6,2,50.0,99.0,5.0,442000,24525,198900,24525,47130,1017.0,10031.0,,50.0,87.0,2,1,81.0,120.0,19.0,10035.0,70.0,102.0,2
673899,673900,4116040063,63,,A1,1,20.0,100.0,2.5,347000,10466,16070,1620,1620,1017.0,11420.0,,16.0,36.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
360571,360572,4131640054,54,,A1,1,40.0,100.0,1.5,375000,11748,20880,11748,13680,1015.0,11413.0,,25.0,40.0,6,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
89358,89359,3084730001,1,,A5,1,20.0,100.0,2.0,429000,17256,24192,3240,3240,1017.0,11229.0,,20.0,32.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
1037735,1037736,3011470011,11,,V1,4,20.0,67.0,3.0,140500,63225,63225,0,0,,11238.0,,25.0,52.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
689064,689065,5031190036,36,,A2,1,110.0,68.0,1.0,360000,10049,15264,5436,5436,1010.0,10305.0,,30.0,12.0,6,5,48.0,109.0,2.0,10308.0,25.0,40.0,2
510593,510594,5043400041,41,,A2,1,89.0,101.0,1.0,792000,22373,40641,1620,1620,1017.0,10306.0,,53.0,27.0,7,5,48.0,109.0,2.0,10308.0,25.0,40.0,2
720293,720294,4032040019,19,,A5,1,18.0,100.0,3.0,667000,15938,27470,0,0,,11375.0,,18.0,33.0,8,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
67653,67654,4085680033,33,,A1,1,41.0,96.0,2.0,470000,17820,28200,1620,1620,1017.0,11426.0,,25.0,37.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
7609,7610,4028950032,32,,A5,1,20.0,100.0,1.0,431000,14653,21481,1620,1620,1017.0,11373.0,,20.0,44.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
776493,776494,4111680045,45,,A1,1,30.0,95.0,2.5,366000,10866,17834,3240,3240,1017.0,11429.0,,18.0,36.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
123036,123037,3078480049,49,,A9,1,21.0,81.0,2.0,310000,10497,16603,1620,1620,1017.0,11234.0,,14.0,27.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
779429,779430,3009440041,41,,B9,1,20.0,90.0,3.0,1890000,23027,39564,1620,1620,1017.0,11217.0,,20.0,47.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
147870,147871,3014830054,54,,B9,1,17.0,100.0,2.0,514000,6380,9703,1620,1620,1017.0,11221.0,,17.0,45.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
767511,767512,5044710054,54,,A9,1,25.0,101.0,2.0,395000,13022,22760,1620,1620,1017.0,10306.0,,15.0,40.0,7,5,48.0,109.0,2.0,10308.0,25.0,40.0,2
623289,623290,4015520001,1,,D1,2,256.0,106.0,6.0,3310000,243450,1489500,0,0,,11373.0,,227.0,75.0,6,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
149293,149294,4033800065,65,,C3,2A,25.0,100.0,2.0,630000,19317,35071,0,0,,11385.0,,25.0,60.0,8,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
342499,342500,2056440209,209,,B2,1,35.0,108.0,2.5,534000,13706,23459,1620,1620,1017.0,10464.0,,21.0,37.0,7,2,49.0,107.0,4.0,10464.0,33.0,52.0,2
565966,565967,4045410039,39,,A0,1,40.0,99.0,1.6,700000,16956,29306,8520,8520,1010.0,11357.0,,26.0,37.0,6,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
46504,46505,4052720015,15,,B2,1,50.0,100.0,2.7,690000,18738,29859,1620,1620,1017.0,11354.0,,30.0,28.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
1028880,1028881,4019330027,27,,A2,1,25.0,100.0,1.0,375000,8047,12896,8047,9688,1015.0,11368.0,,16.0,42.0,6,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
257036,257037,1008441102,1102,,R8,2C,81.0,120.0,8.0,1632048,10023,232200,0,0,,10003.0,,70.0,102.0,8,1,81.0,120.0,19.0,10035.0,70.0,102.0,3
876359,876360,4086890004,4,,A2,1,40.0,100.0,1.5,460000,13776,22003,1620,1620,1017.0,11040.0,,24.0,33.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
129408,129409,4019590033,33,,C0,1,20.0,100.0,3.0,817000,27068,43447,1620,1620,1017.0,11368.0,,20.0,52.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
692329,692330,2047530025,25,,B1,1,21.0,100.0,3.0,508000,18960,30480,0,0,,10469.0,,21.0,50.0,8,2,49.0,107.0,4.0,10464.0,33.0,52.0,3
519600,519601,2039443414,3414,,R4,2,49.0,107.0,12.0,23338,3045,10502,0,2112,1920.0,10462.0,,33.0,52.0,4,2,49.0,107.0,4.0,10464.0,33.0,52.0,2
118881,118882,2051180039,39,,B9,1,49.0,95.0,2.0,559000,14121,25712,1620,1620,1017.0,10470.0,,25.0,42.0,7,2,49.0,107.0,4.0,10464.0,33.0,52.0,2
697191,697192,4006200062,62,,B1,1,18.0,75.0,2.0,597000,15765,28695,0,0,,11102.0,,18.0,48.0,8,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
1030353,1030354,3059800050,50,,S2,1,21.0,99.0,3.0,679000,20727,37731,1620,1620,1017.0,11209.0,,21.0,55.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
618330,618331,4095950040,40,,B3,1,30.0,100.0,2.5,472000,9706,17095,1620,1620,1017.0,11419.0,,16.0,36.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
752454,752455,4008340146,146,,B1,1,20.0,100.0,2.0,539000,18124,28732,0,0,,11105.0,,20.0,43.0,8,4,41.0,104.0,3.0,11380.0,26.0,44.0,3
905484,905485,3047800068,68,,A1,1,20.0,100.0,2.0,467000,12361,19905,12361,13193,1015.0,11203.0,,16.0,48.0,6,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
418711,418712,4060220002,2,,B1,1,25.0,100.0,2.0,653000,14956,25567,1620,1620,1017.0,11358.0,,20.0,40.0,7,4,41.0,104.0,3.0,11380.0,26.0,44.0,2
432694,432695,3064050032,32,,B1,1,20.0,67.0,2.0,601000,13609,21190,0,0,,11214.0,,20.0,52.0,8,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
50724,50725,3017151401,1401,,R5,4,33.0,101.0,6.0,5300,89,2385,0,0,,11205.0,,25.0,52.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,3
59036,59037,3051041010,1010,,R3,1A,33.0,101.0,1.0,201041,862,10328,0,8658,5114.0,11226.0,,25.0,52.0,7,3,33.0,101.0,3.0,11220.0,25.0,52.0,2
